ucID,userID,Rcuisine
1,U1001,American
2,U1002,Mexican
3,U1003,Mexican
4,U1004,Bakery
5,U1004,Breakfast-Brunch
6,U1004,Japanese
7,U1004,Contemporary
8,U1004,Mexican
9,U1004,Bagels
10,U1004,Cafe-Coffee_Shop
11,U1004,Continental-European
12,U1004,Cafeteria
13,U1005,American
14,U1006,Mexican
15,U1007,Family
16,U1008,Cafe-Coffee_Shop
17,U1008,Mexican
18,U1008,Juice
19,U1008,Hawaiian
20,U1008,Hot_Dogs
21,U1008,Latin_American
22,U1008,Korean
23,U1008,American
24,U1008,Cafeteria
25,U1008,Italian
26,U1009,Diner
27,U1009,Fast_Food
28,U1009,Family
29,U1009,Cafe-Coffee_Shop
30,U1009,Deli-Sandwiches
31,U1009,Cafeteria
32,U1009,Mexican
33,U1010,Mexican
34,U1011,Mexican
35,U1012,Latin_American
36,U1013,Japanese
37,U1014,Japanese
38,U1014,Fast_Food
39,U1015,Mexican
40,U1016,Cafe-Coffee_Shop
41,U1016,Contemporary
42,U1016,Regional
43,U1016,Fusion
44,U1016,Japanese
45,U1016,Portuguese
46,U1016,American
47,U1016,Indian-Pakistani
48,U1016,Eastern_European
49,U1016,Lebanese
50,U1016,Moroccan
51,U1016,Barbecue
52,U1016,Polynesian
53,U1016,Polish
54,U1017,Chinese
55,U1018,Mexican
56,U1019,Family
57,U1020,Mexican
58,U1021,Pizzeria
59,U1021,Regional
60,U1021,Chinese
61,U1021,Burgers
62,U1022,Mexican
63,U1023,Mexican
64,U1024,Afghan
65,U1025,Mexican
66,U1026,Mexican
67,U1027,Family
68,U1028,Mexican
69,U1029,Mexican
70,U1030,Mexican
71,U1031,Mexican
72,U1032,Mexican
73,U1033,Mexican
74,U1034,Mexican
75,U1035,Family
76,U1036,Mexican
77,U1037,Mexican
78,U1038,Mexican
79,U1039,Regional
80,U1040,Pizzeria
81,U1041,Contemporary
82,U1042,Mexican
83,U1043,Latin_American
84,U1044,Mexican
85,U1045,Middle_Eastern
86,U1045,Mexican
87,U1045,Mongolian
88,U1045,Moroccan
89,U1046,Bar
90,U1047,American
91,U1048,Mexican
92,U1049,Mexican
93,U1050,Mexican
94,U1051,Mexican
95,U1052,Bakery
96,U1053,Mexican
97,U1054,Mexican
98,U1055,Breakfast-Brunch
99,U1056,Mexican
100,U1057,American
101,U1058,Cuban
102,U1059,Mexican
103,U1060,Burgers
104,U1060,Cafeteria
105,U1060,Pizzeria
106,U1060,Juice
107,U1060,American
108,U1060,Tex-Mex
109,U1060,Spanish
110,U1060,Mexican
111,U1060,Fast_Food
112,U1060,Cafe-Coffee_Shop
113,U1060,Soup
114,U1060,Hot_Dogs
115,U1060,Italian
116,U1061,Mexican
117,U1062,Mexican
118,U1063,Mexican
119,U1064,Mexican
120,U1065,Mexican
121,U1066,Mexican
122,U1067,Mexican
123,U1068,Mexican
124,U1069,Mexican
125,U1070,Mexican
126,U1071,Mexican
127,U1072,Mexican
128,U1073,American
129,U1074,Sushi
130,U1075,Mexican
131,U1076,Mexican
132,U1077,Mexican
133,U1078,Mexican
134,U1079,Mexican
135,U1080,Mexican
136,U1081,Mexican
137,U1082,Mexican
138,U1083,Mexican
139,U1084,Mexican
140,U1085,Mexican
141,U1086,Italian
142,U1087,Chinese
143,U1088,Mexican
144,U1089,Mexican
145,U1090,Tex-Mex
146,U1091,American
147,U1091,Mexican
148,U1092,Game
149,U1093,Japanese
150,U1094,Mexican
151,U1095,Italian
152,U1096,Mexican
153,U1097,Mexican
154,U1098,Mexican
155,U1099,Mexican
156,U1100,Mexican
157,U1101,Chinese
158,U1101,Italian
159,U1101,Doughnuts
160,U1101,Afghan
161,U1101,Mexican
162,U1101,Burgers
163,U1101,Latin_American
164,U1101,Contemporary
165,U1101,Cafe-Coffee_Shop
166,U1101,Family
167,U1101,Cafeteria
168,U1101,Bar
169,U1101,Australian
170,U1101,Hot_Dogs
171,U1101,Diner
172,U1102,Pizzeria
173,U1103,Mexican
174,U1104,Italian
175,U1105,Cafeteria
176,U1106,Barbecue
177,U1107,Mexican
178,U1108,Cafe-Coffee_Shop
179,U1108,Sushi
180,U1108,Latin_American
181,U1108,Deli-Sandwiches
182,U1108,Mexican
183,U1108,Hot_Dogs
184,U1108,American
185,U1108,Fast_Food
186,U1108,Burgers
187,U1108,Asian
188,U1108,Pizzeria
189,U1108,Chinese
190,U1108,Dessert-Ice_Cream
191,U1108,Cafeteria
192,U1108,Japanese
193,U1108,Game
194,U1108,Family
195,U1108,Seafood
196,U1109,Mexican
197,U1110,Mexican
198,U1111,Mexican
199,U1112,Mexican
200,U1113,Burgers
201,U1114,Mexican
202,U1115,Regional
203,U1116,Mexican
204,U1117,Turkish
205,U1118,Pizzeria
206,U1119,Mexican
207,U1120,Mexican
208,U1121,Mexican
209,U1122,Afghan
210,U1123,Mexican
211,U1124,Mexican
212,U1125,Mexican
213,U1126,Mexican
214,U1127,Mexican
215,U1128,Cafeteria
216,U1128,Hot_Dogs
217,U1128,Pizzeria
218,U1128,Mexican
219,U1129,Mexican
220,U1130,Mexican
221,U1131,Mexican
222,U1132,Mexican
223,U1133,Mexican
224,U1134,Mexican
225,U1135,Organic-Healthy
226,U1135,Steaks
227,U1135,Middle_Eastern
228,U1135,Mediterranean
229,U1135,British
230,U1135,Austrian
231,U1135,Israeli
232,U1135,Doughnuts
233,U1135,Pizzeria
234,U1135,Seafood
235,U1135,Fast_Food
236,U1135,Moroccan
237,U1135,Hot_Dogs
238,U1135,Russian-Ukrainian
239,U1135,Malaysian
240,U1135,Burgers
241,U1135,Fusion
242,U1135,Korean
243,U1135,Japanese
244,U1135,Vegetarian
245,U1135,Turkish
246,U1135,Peruvian
247,U1135,Juice
248,U1135,Tapas
249,U1135,Eclectic
250,U1135,African
251,U1135,Basque
252,U1135,Canadian
253,U1135,Afghan
254,U1135,Diner
255,U1135,Irish
256,U1135,Sushi
257,U1135,Polynesian
258,U1135,Bagels
259,U1135,Tex-Mex
260,U1135,Cuban
261,U1135,Southwestern
262,U1135,Cafe-Coffee_Shop
263,U1135,Continental-European
264,U1135,Family
265,U1135,Indian-Pakistani
266,U1135,Tea_House
267,U1135,International
268,U1135,Pacific_Northwest
269,U1135,Australian
270,U1135,German
271,U1135,Regional
272,U1135,Spanish
273,U1135,Persian
274,U1135,Ethiopian
275,U1135,Romanian
276,U1135,Cambodian
277,U1135,Pacific_Rim
278,U1135,Tunisian
279,U1135,Filipino
280,U1135,Dim_Sum
281,U1135,Breakfast-Brunch
282,U1135,Contemporary
283,U1135,Greek
284,U1135,Thai
285,U1135,Swiss
286,U1135,Bar
287,U1135,Soup
288,U1135,American
289,U1135,Mongolian
290,U1135,Cajun-Creole
291,U1135,Armenian
292,U1135,Indigenous
293,U1135,Bar_Pub_Brewery
294,U1135,Hawaiian
295,U1135,Cafeteria
296,U1135,Lebanese
297,U1135,Chinese
298,U1135,Portuguese
299,U1135,Caribbean
300,U1135,Indonesian
301,U1135,Hungarian
302,U1135,Bakery
303,U1135,Dutch-Belgian
304,U1135,Deli-Sandwiches
305,U1135,Kosher
306,U1135,Fine_Dining
307,U1135,Jamaican
308,U1135,Tibetan
309,U1135,Latin_American
310,U1135,Southeast_Asian
311,U1135,Eastern_European
312,U1135,Mexican
313,U1135,Burmese
314,U1135,California
315,U1135,Game
316,U1135,Italian
317,U1135,Scandinavian
318,U1135,Chilean
319,U1135,Polish
320,U1135,North_African
321,U1135,Asian
322,U1135,Vietnamese
323,U1135,Barbecue
324,U1135,French
325,U1135,Brazilian
326,U1135,Southern
327,U1135,Dessert-Ice_Cream
328,U1136,Mexican
329,U1137,Mexican
330,U1138,Pizzeria