id,userID,smoker,drink_level,marital_status,hijos,birth_year,interest,personality,religion,activity,label
0,U1001,0,0,0,0,1989,0,0,0,0,0
1,U1002,0,0,0,0,1990,1,1,1,0,0
2,U1003,0,1,0,0,1989,2,2,1,0,0
3,U1004,0,0,0,0,1940,0,2,0,1,4
4,U1005,0,0,0,0,1992,2,0,1,0,0
5,U1006,1,1,0,0,1989,0,2,0,0,0
6,U1007,0,2,0,0,1989,0,0,1,0,0
7,U1008,0,1,0,0,1989,1,2,1,0,0
8,U1009,0,0,0,1,1991,0,0,1,0,0
9,U1010,0,1,1,1,1987,1,2,0,0,2
10,U1011,0,0,0,0,1989,0,2,1,0,0
11,U1012,0,2,0,0,1988,1,2,1,0,0
12,U1013,0,0,2,0,1982,3,0,0,1,2
13,U1014,0,0,0,0,1990,2,2,1,0,0
14,U1015,1,1,0,0,1989,1,0,1,0,0
15,U1016,0,2,0,0,1991,4,0,1,0,0
16,U1017,0,2,0,0,1991,3,1,0,1,0
17,U1018,1,2,0,0,1989,1,0,2,0,0
18,U1019,0,2,0,0,1989,0,0,1,0,0
19,U1020,0,0,0,0,1982,1,2,1,1,2
20,U1021,0,1,0,2,1984,2,2,1,0,2
21,U1022,0,2,0,0,1990,0,2,1,0,0
22,U1023,0,2,0,0,1988,2,2,1,0,0
23,U1024,0,0,0,0,1930,2,2,0,0,1
24,U1025,0,1,0,0,1990,2,0,1,0,0
25,U1026,0,0,0,0,1989,1,1,1,0,0
26,U1027,1,1,0,0,1989,3,0,1,0,0
27,U1028,0,0,0,0,1989,0,2,2,0,0
28,U1029,1,2,0,0,1990,0,3,1,0,0
29,U1030,0,2,0,0,1991,4,2,1,0,0
30,U1031,0,0,1,1,1992,2,2,1,3,0
31,U1032,0,0,0,0,1989,0,2,1,0,0
32,U1033,0,1,0,0,1991,2,2,0,0,0
33,U1034,0,2,0,0,1990,1,0,1,0,0
34,U1035,1,2,0,0,1985,0,1,0,0,2
35,U1036,0,1,0,0,1991,2,2,1,0,0
36,U1037,0,1,0,0,1990,0,0,1,0,0
37,U1038,1,1,0,0,1930,0,0,1,0,1
38,U1039,0,1,0,0,1989,2,2,0,0,0
39,U1040,0,0,0,0,1994,2,0,1,0,0
40,U1041,0,0,0,0,1985,4,1,1,1,2
41,U1042,0,0,0,0,1943,1,0,2,0,4
42,U1043,0,0,0,0,1989,1,2,0,0,0
43,U1044,1,1,1,1,1969,0,0,1,1,3
44,U1045,0,2,0,0,1991,1,0,3,0,0
45,U1046,0,1,0,0,1990,3,2,1,0,0
46,U1047,0,0,0,0,1992,3,0,1,0,0
47,U1048,1,2,0,0,1988,4,0,0,0,0
48,U1049,0,2,0,0,1991,2,2,0,0,0
49,U1050,0,1,0,0,1989,0,2,0,0,0
50,U1051,0,2,0,0,1979,0,0,0,1,2
51,U1052,1,1,0,0,1990,2,3,1,0,0
52,U1053,0,2,0,0,1990,0,0,1,0,0
53,U1054,0,1,0,0,1992,1,0,1,0,0
54,U1055,0,0,1,2,1952,2,2,1,1,4
55,U1056,0,1,0,0,1930,2,2,1,0,1
56,U1057,1,2,0,0,1989,1,1,1,0,0
57,U1058,0,0,0,0,1991,0,2,1,0,0
58,U1059,0,0,0,0,1987,1,0,1,0,2
59,U1060,0,2,0,0,1991,1,0,1,0,0
60,U1061,0,1,0,0,1990,2,2,1,1,0
61,U1062,0,2,0,0,1985,0,2,1,0,2
62,U1063,0,2,0,0,1988,4,3,1,0,0
63,U1064,0,2,0,0,1991,0,1,0,0,0
64,U1065,0,0,0,0,1989,1,3,1,0,0
65,U1066,0,0,0,0,1986,1,0,1,0,2
66,U1067,0,0,0,0,1987,1,0,2,0,2
67,U1068,0,2,0,0,1988,1,0,1,0,0
68,U1069,0,1,0,0,1983,0,0,1,1,2
69,U1070,0,2,0,0,1991,0,0,1,0,0
70,U1071,0,0,0,0,1930,2,1,0,0,1
71,U1072,0,2,0,0,1984,4,0,2,0,2
72,U1073,0,0,2,1,1989,2,2,0,3,0
73,U1074,1,2,0,1,1967,4,2,1,1,3
74,U1075,0,2,0,0,1991,1,0,1,0,0
75,U1076,0,1,1,1,1987,1,0,1,0,2
76,U1077,0,1,1,1,1987,1,0,1,0,2
77,U1078,1,1,0,0,1983,0,2,1,1,2
78,U1079,0,0,0,0,1992,1,0,1,0,0
79,U1080,1,1,0,0,1987,0,2,1,0,2
80,U1081,0,2,0,0,1991,0,2,1,0,0
81,U1082,1,0,0,0,1989,0,2,1,0,0
82,U1083,0,0,0,0,1981,2,2,0,0,2
83,U1084,1,2,0,0,1991,0,0,1,0,0
84,U1085,0,0,0,0,1988,1,0,1,0,0
85,U1086,0,1,0,0,1991,0,1,1,0,0
86,U1087,0,0,0,0,1989,0,0,1,0,0
87,U1088,0,1,0,0,1991,2,2,1,0,0
88,U1089,1,2,0,0,1990,0,3,1,0,0
89,U1090,0,1,0,0,1988,0,0,1,0,0
90,U1091,0,2,0,0,1989,4,0,0,0,0
91,U1092,0,0,0,2,1990,0,0,1,0,0
92,U1093,1,2,0,0,1990,0,0,1,0,0
93,U1094,0,0,0,0,1991,0,0,1,0,0
94,U1095,0,0,1,0,1986,0,0,1,0,2
95,U1096,0,0,0,0,1990,4,2,1,0,0
96,U1097,0,0,0,0,1990,0,2,1,0,0
97,U1098,0,1,0,0,1991,2,0,1,0,0
98,U1099,1,1,0,0,1989,1,3,1,0,0
99,U1100,0,2,0,0,1990,4,2,2,0,0
100,U1101,0,2,0,0,1988,4,1,1,0,0
101,U1102,0,1,0,0,1989,4,3,0,0,0
102,U1103,0,0,0,0,1989,1,2,4,1,0
103,U1104,1,1,0,0,1991,1,1,1,0,0
104,U1105,0,1,0,0,1991,0,2,2,0,0
105,U1106,0,2,0,0,1930,1,2,1,1,1
106,U1107,0,0,0,0,1989,0,2,1,0,0
107,U1108,0,0,0,0,1983,1,0,1,0,2
108,U1109,0,0,0,0,1989,4,0,1,0,0
109,U1110,0,0,0,0,1993,0,0,1,0,0
110,U1111,1,2,0,0,1991,2,2,1,0,0
111,U1112,1,2,0,0,1991,2,2,1,0,0
112,U1113,0,2,0,0,1990,2,0,1,0,0
113,U1114,0,0,0,0,1991,0,2,1,0,0
114,U1115,1,1,0,0,1990,0,2,1,0,0
115,U1116,0,1,1,1,1987,1,0,1,0,2
116,U1117,0,0,0,0,1982,1,0,1,1,2
117,U1118,1,2,0,0,1987,1,0,0,0,2
118,U1119,0,0,0,0,1992,4,0,1,0,0
119,U1120,0,0,0,0,1930,0,2,0,0,1
120,U1121,0,1,1,0,1987,0,0,1,2,2
121,U1122,0,0,0,0,1930,2,2,0,0,1
122,U1123,0,0,0,0,1987,1,2,1,0,2
123,U1124,0,2,0,0,1991,2,2,1,0,0
124,U1125,0,2,0,0,1990,1,2,1,0,0
125,U1126,0,2,0,0,1990,1,2,1,0,0
126,U1127,0,0,0,0,1992,0,2,1,0,0
127,U1128,0,2,0,0,1986,0,0,1,0,2
128,U1129,0,2,0,0,1989,0,0,0,0,0
129,U1130,0,0,0,0,1989,2,2,0,0,0
130,U1131,1,1,1,1,1990,4,2,0,0,0
131,U1132,0,2,0,0,1991,2,2,0,0,0
132,U1133,0,0,0,0,1991,2,2,0,0,0
133,U1134,0,2,0,0,1991,0,2,1,0,0
134,U1135,0,2,0,1,1988,0,1,1,0,0
135,U1136,1,1,0,0,1990,3,0,1,0,0
136,U1137,0,1,0,0,1989,4,2,1,0,0
137,U1138,0,1,0,0,1991,0,0,0,0,0