,smoker,drink_level,marital_status,hijos,birth_year,interest,personality,religion,activity,label
0,0,0,0,0,1989,0,0,0,0,0.0
1,0,0,0,0,1990,1,1,1,0,0.0
2,0,1,0,0,1989,2,2,1,0,0.0
3,0,0,0,0,1940,0,2,0,1,4.0
4,0,0,0,0,1992,2,0,1,0,0.0
5,1,1,0,0,1989,0,2,0,0,0.0
6,0,2,0,0,1989,0,0,1,0,0.0
7,0,1,0,0,1989,1,2,1,0,0.0
8,0,0,0,1,1991,0,0,1,0,0.0
9,0,1,1,1,1987,1,2,0,0,2.0
10,0,0,0,0,1989,0,2,1,0,0.0
11,0,2,0,0,1988,1,2,1,0,0.0
12,0,0,2,0,1982,3,0,0,1,2.0
13,0,0,0,0,1990,2,2,1,0,0.0
14,1,1,0,0,1989,1,0,1,0,0.0
15,0,2,0,0,1991,4,0,1,0,0.0
16,0,2,0,0,1991,3,1,0,1,0.0
17,1,2,0,0,1989,1,0,2,0,0.0
18,0,2,0,0,1989,0,0,1,0,0.0
19,0,0,0,0,1982,1,2,1,1,2.0
20,0,1,0,2,1984,2,2,1,0,2.0
21,0,2,0,0,1990,0,2,1,0,0.0
22,0,2,0,0,1988,2,2,1,0,0.0
23,0,0,0,0,1930,2,2,0,0,1.0
24,0,1,0,0,1990,2,0,1,0,0.0
25,0,0,0,0,1989,1,1,1,0,0.0
26,1,1,0,0,1989,3,0,1,0,0.0
27,0,0,0,0,1989,0,2,2,0,0.0
28,1,2,0,0,1990,0,3,1,0,0.0
29,0,2,0,0,1991,4,2,1,0,0.0
30,0,0,1,1,1992,2,2,1,3,0.0
31,0,0,0,0,1989,0,2,1,0,0.0
32,0,1,0,0,1991,2,2,0,0,0.0
33,0,2,0,0,1990,1,0,1,0,0.0
34,1,2,0,0,1985,0,1,0,0,2.0
35,0,1,0,0,1991,2,2,1,0,0.0
36,0,1,0,0,1990,0,0,1,0,0.0
37,1,1,0,0,1930,0,0,1,0,1.0
38,0,1,0,0,1989,2,2,0,0,0.0
39,0,0,0,0,1994,2,0,1,0,0.0
40,0,0,0,0,1985,4,1,1,1,2.0
41,0,0,0,0,1943,1,0,2,0,4.0
42,0,0,0,0,1989,1,2,0,0,0.0
43,1,1,1,1,1969,0,0,1,1,3.0
44,0,2,0,0,1991,1,0,3,0,0.0
45,0,1,0,0,1990,3,2,1,0,0.0
46,0,0,0,0,1992,3,0,1,0,0.0
47,1,2,0,0,1988,4,0,0,0,0.0
48,0,2,0,0,1991,2,2,0,0,0.0
49,0,1,0,0,1989,0,2,0,0,0.0
50,0,2,0,0,1979,0,0,0,1,2.0
51,1,1,0,0,1990,2,3,1,0,0.0
52,0,2,0,0,1990,0,0,1,0,0.0
53,0,1,0,0,1992,1,0,1,0,0.0
54,0,0,1,2,1952,2,2,1,1,4.0
55,0,1,0,0,1930,2,2,1,0,1.0
56,1,2,0,0,1989,1,1,1,0,0.0
57,0,0,0,0,1991,0,2,1,0,0.0
58,0,0,0,0,1987,1,0,1,0,2.0
59,0,2,0,0,1991,1,0,1,0,0.0
60,0,1,0,0,1990,2,2,1,1,0.0
61,0,2,0,0,1985,0,2,1,0,2.0
62,0,2,0,0,1988,4,3,1,0,0.0
63,0,2,0,0,1991,0,1,0,0,0.0
64,0,0,0,0,1989,1,3,1,0,0.0
65,0,0,0,0,1986,1,0,1,0,2.0
66,0,0,0,0,1987,1,0,2,0,2.0
67,0,2,0,0,1988,1,0,1,0,0.0
68,0,1,0,0,1983,0,0,1,1,2.0
69,0,2,0,0,1991,0,0,1,0,0.0
70,0,0,0,0,1930,2,1,0,0,1.0
71,0,2,0,0,1984,4,0,2,0,2.0
72,0,0,2,1,1989,2,2,0,3,0.0
73,1,2,0,1,1967,4,2,1,1,3.0
74,0,2,0,0,1991,1,0,1,0,0.0
75,0,1,1,1,1987,1,0,1,0,2.0
76,0,1,1,1,1987,1,0,1,0,2.0
77,1,1,0,0,1983,0,2,1,1,2.0
78,0,0,0,0,1992,1,0,1,0,0.0
79,1,1,0,0,1987,0,2,1,0,2.0
80,0,2,0,0,1991,0,2,1,0,0.0
81,1,0,0,0,1989,0,2,1,0,0.0
82,0,0,0,0,1981,2,2,0,0,2.0
83,1,2,0,0,1991,0,0,1,0,0.0
84,0,0,0,0,1988,1,0,1,0,0.0
85,0,1,0,0,1991,0,1,1,0,0.0
86,0,0,0,0,1989,0,0,1,0,0.0
87,0,1,0,0,1991,2,2,1,0,0.0
88,1,2,0,0,1990,0,3,1,0,0.0
89,0,1,0,0,1988,0,0,1,0,0.0
90,0,2,0,0,1989,4,0,0,0,0.0
91,0,0,0,2,1990,0,0,1,0,0.0
92,1,2,0,0,1990,0,0,1,0,0.0
93,0,0,0,0,1991,0,0,1,0,0.0
94,0,0,1,0,1986,0,0,1,0,2.0
95,0,0,0,0,1990,4,2,1,0,0.0
96,0,0,0,0,1990,0,2,1,0,0.0
97,0,1,0,0,1991,2,0,1,0,0.0
98,1,1,0,0,1989,1,3,1,0,0.0
99,0,2,0,0,1990,4,2,2,0,0.0
100,0,2,0,0,1988,4,1,1,0,0.0
101,0,1,0,0,1989,4,3,0,0,0.0
102,0,0,0,0,1989,1,2,4,1,0.0
103,1,1,0,0,1991,1,1,1,0,0.0
104,0,1,0,0,1991,0,2,2,0,0.0
105,0,2,0,0,1930,1,2,1,1,1.0
106,0,0,0,0,1989,0,2,1,0,0.0
107,0,0,0,0,1983,1,0,1,0,2.0
108,0,0,0,0,1989,4,0,1,0,0.0
109,0,0,0,0,1993,0,0,1,0,0.0
110,1,2,0,0,1991,2,2,1,0,0.0
111,1,2,0,0,1991,2,2,1,0,0.0
112,0,2,0,0,1990,2,0,1,0,0.0
113,0,0,0,0,1991,0,2,1,0,0.0
114,1,1,0,0,1990,0,2,1,0,0.0
115,0,1,1,1,1987,1,0,1,0,2.0
116,0,0,0,0,1982,1,0,1,1,2.0
117,1,2,0,0,1987,1,0,0,0,2.0
118,0,0,0,0,1992,4,0,1,0,0.0
119,0,0,0,0,1930,0,2,0,0,1.0
120,0,1,1,0,1987,0,0,1,2,2.0
121,0,0,0,0,1930,2,2,0,0,1.0
122,0,0,0,0,1987,1,2,1,0,2.0
123,0,2,0,0,1991,2,2,1,0,0.0
124,0,2,0,0,1990,1,2,1,0,0.0
125,0,2,0,0,1990,1,2,1,0,0.0
126,0,0,0,0,1992,0,2,1,0,0.0
127,0,2,0,0,1986,0,0,1,0,2.0
128,0,2,0,0,1989,0,0,0,0,0.0
129,0,0,0,0,1989,2,2,0,0,0.0
130,1,1,1,1,1990,4,2,0,0,0.0
131,0,2,0,0,1991,2,2,0,0,0.0
132,0,0,0,0,1991,2,2,0,0,0.0
133,0,2,0,0,1991,0,2,1,0,0.0
134,0,2,0,1,1988,0,1,1,0,0.0
135,1,1,0,0,1990,3,0,1,0,0.0
136,0,1,0,0,1989,4,2,1,0,0.0
137,0,1,0,0,1991,0,0,0,0,0.0
